category,대출건수합계,평균대출건수
491.5,1394,22.126984126984127
325.8,1380,17.037037037037038
670.8,1380,44.516129032258064
380.8,1378,51.03703703703704
370.8,1376,14.795698924731182
735,1376,21.16923076923077
234.9,1370,17.125
410.7,1366,18.97222222222222
370.1,1360,12.830188679245284
237.2,1355,13.826530612244898
740.76,1350,20.454545454545453
609.2,1345,21.349206349206348
325,1342,14.126315789473685
440,1342,19.44927536231884
334.3,1325,13.383838383838384
325.93,1323,26.46
592.21,1315,42.41935483870968
219.23,1311,69.0
713.04,1311,29.795454545454547
233.1,1304,22.482758620689655
231,1300,8.49673202614379
309.111,1298,8.711409395973154
600,1298,9.614814814814816
401,1292,10.94915254237288
868,1288,18.140845070422536
715,1276,15.373493975903614
160.23,1267,25.857142857142858
230.4,1264,11.285714285714286
180.4,1262,30.78048780487805
334.22,1261,18.544117647058822
331.541,1260,9.333333333333334
005.53,1256,32.205128205128204
982.702,1252,21.964912280701753
001,1248,13.714285714285714
747.08,1240,35.42857142857143
609.9,1222,20.366666666666667
512.5156,1211,24.714285714285715
219.32,1210,86.42857142857143
372,1209,13.141304347826088
375.43,1200,24.489795918367346
609,1189,9.146153846153846
601,1186,11.295238095238096
636.3,1178,40.62068965517241
802.54,1177,28.023809523809526
005.565,1165,16.884057971014492
556,1163,18.171875
691.15,1161,16.585714285714285
181,1159,12.46236559139785
592.303,1157,44.5
813.8082,1154,39.793103448275865
321.89,1154,19.559322033898304
194.8,1146,29.384615384615383
913,1142,17.56923076923077
325.2112,1140,18.095238095238095
981.4102,1138,25.288888888888888
911.059,1136,8.606060606060606
843.8,1136,39.172413793103445
981.19902,1133,27.634146341463413
457,1130,22.6
109,1126,33.11764705882353
859.81,1121,13.188235294117646
337.1,1110,8.473282442748092
816.5,1109,24.644444444444446
859,1087,18.423728813559322
230.99,1083,12.892857142857142
981.32802,1082,30.914285714285715
550,1081,17.43548387096774
338.3,1074,17.60655737704918
725,1072,21.019607843137255
004.57,1059,16.546875
194,1056,16.5
326.165,1047,23.266666666666666
338.9,1046,45.47826086956522
410.99,1046,23.244444444444444
481.508,1043,11.588888888888889
233.08,1040,12.53012048192771
864,1037,17.283333333333335
634,1036,33.41935483870968
224.2,1035,19.528301886792452
